##Databases: KEGG PATHWAY, Gene Ontology
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Cyanoamino acid metabolism	KEGG PATHWAY	ath00460	12	66	0.0255043983031	0.388358512677	Barthea06548|Barthea41845|Barthea16143|Barthea44533|Barthea38742|Barthea23763|Barthea44530|Barthea27471|Barthea44534|Barthea04568|Barthea27052|Barthea31702	http://www.genome.jp/kegg-bin/show_pathway?ath00460/ath:AT3G18080%09red/ath:AT5G10300%09red/ath:AT3G16150%09red/ath:AT1G61820%09red/ath:AT5G24550%09red/ath:AT2G44480%09red/ath:AT5G44640%09red/ath:AT4G32520%09red
Photosynthesis	KEGG PATHWAY	ath00195	16	99	0.026700317255	0.397774044561	Barthea36094|Barthea02289|Barthea26211|Barthea43608|Barthea12726|Barthea13292|Barthea38012|Barthea40422|Barthea38070|Barthea30284|Barthea24815|Barthea01505|Barthea12731|Barthea19969|Barthea04443|Barthea03144	http://www.genome.jp/kegg-bin/show_pathway?ath00195/ath:AT3G01440%09red/ath:AT2G30570%09red/ath:AT4G28660%09red/ath:AT1G52230%09red/ath:AT4G09650%09red/ath:AT4G12800%09red/ath:AT1G03130%09red/ath:AT4G03280%09red/ath:ArthCp002%09red/ath:AT4G05390%09red/ath:AT4G02770%09red/ath:AT1G30380%09red/ath:ArthCp018%09red/ath:AT3G55330%09red
Tryptophan metabolism	KEGG PATHWAY	ath00380	14	85	0.0323417520842	0.437113783323	Barthea04076|Barthea37466|Barthea13666|Barthea01283|Barthea41179|Barthea12662|Barthea04663|Barthea22576|Barthea14042|Barthea30809|Barthea43981|Barthea39835|Barthea22572|Barthea20263	http://www.genome.jp/kegg-bin/show_pathway?ath00380/ath:AT5G11320%09red/ath:AT4G26910%09red/ath:AT1G04180%09red/ath:AT2G20610%09red/ath:AT4G16210%09red/ath:AT4G31500%09red/ath:AT2G20340%09red/ath:AT4G34880%09red/ath:AT1G08980%09red/ath:AT5G47720%09red/ath:AT4G34240%09red
Tropane, piperidine and pyridine alkaloid biosynthesis	KEGG PATHWAY	ath00960	8	38	0.032757345875	0.440460312227	Barthea34852|Barthea07200|Barthea07639|Barthea17177|Barthea07578|Barthea13384|Barthea35015|Barthea36435	http://www.genome.jp/kegg-bin/show_pathway?ath00960/ath:AT1G31710%09red/ath:AT5G11520%09red/ath:AT4G31990%09red/ath:AT2G22250%09red/ath:AT2G30970%09red/ath:AT5G10330%09red/ath:AT5G53970%09red
alpha-Linolenic acid metabolism	KEGG PATHWAY	ath00592	12	69	0.0331540176399	0.441268194172	Barthea35040|Barthea06570|Barthea14772|Barthea31195|Barthea35037|Barthea21220|Barthea06569|Barthea25959|Barthea37029|Barthea13916|Barthea01494|Barthea31703	http://www.genome.jp/kegg-bin/show_pathway?ath00592/ath:AT2G06050%09red/ath:AT5G42650%09red/ath:AT4G13010%09red/ath:AT1G77120%09red/ath:AT1G73680%09red/ath:AT1G76690%09red/ath:AT4G19860%09red/ath:AT5G04040%09red/ath:AT3G45140%09red
Stilbenoid, diarylheptanoid and gingerol biosynthesis	KEGG PATHWAY	ath00945	7	31	0.033589147995	0.444801747691	Barthea37048|Barthea20870|Barthea39644|Barthea10859|Barthea35574|Barthea38721|Barthea33261	http://www.genome.jp/kegg-bin/show_pathway?ath00945/ath:AT2G40890%09red/ath:AT5G48930%09red/ath:AT1G67980%09red/ath:AT4G26220%09red
Diterpenoid biosynthesis	KEGG PATHWAY	ath00904	8	41	0.0456056154343	0.537923791785	Barthea00542|Barthea44852|Barthea03780|Barthea21293|Barthea02972|Barthea39006|Barthea43633|Barthea43632	http://www.genome.jp/kegg-bin/show_pathway?ath00904/ath:AT1G30040%09red/ath:AT1G78440%09red/ath:AT1G15550%09red/ath:AT4G21200%09red/ath:AT4G02780%09red
Isoquinoline alkaloid biosynthesis	KEGG PATHWAY	ath00950	7	34	0.0483608968288	0.553721709541	Barthea34852|Barthea07200|Barthea01283|Barthea07639|Barthea07578|Barthea35015|Barthea36435	http://www.genome.jp/kegg-bin/show_pathway?ath00950/ath:AT1G31710%09red/ath:AT5G11520%09red/ath:AT4G31990%09red/ath:AT2G20340%09red/ath:AT2G22250%09red/ath:AT2G30970%09red/ath:AT5G53970%09red
Flavone and flavonol biosynthesis	KEGG PATHWAY	ath00944	5	21	0.0580745224354	0.613997571878	Barthea43550|Barthea20924|Barthea10333|Barthea41347|Barthea18787	http://www.genome.jp/kegg-bin/show_pathway?ath00944/ath:AT5G17050%09red/ath:AT5G07990%09red
Carotenoid biosynthesis	KEGG PATHWAY	ath00906	11	69	0.0633917808213	0.654382871313	Barthea02053|Barthea10423|Barthea04778|Barthea12017|Barthea12059|Barthea01313|Barthea28984|Barthea12001|Barthea05450|Barthea12905|Barthea12060	http://www.genome.jp/kegg-bin/show_pathway?ath00906/ath:AT5G17230%09red/ath:AT1G52340%09red/ath:AT1G03055%09red/ath:AT1G06820%09red/ath:AT3G19270%09red/ath:AT4G25700%09red/ath:AT2G27150%09red
Indole alkaloid biosynthesis	KEGG PATHWAY	ath00901	3	9	0.0700404800482	0.658229887765	Barthea01283|Barthea01581|Barthea42627	http://www.genome.jp/kegg-bin/show_pathway?ath00901/ath:AT1G74010%09red/ath:AT2G20340%09red
Linoleic acid metabolism	KEGG PATHWAY	ath00591	5	23	0.0758531041835	0.692642750623	Barthea43807|Barthea30502|Barthea25959|Barthea37029|Barthea31703	http://www.genome.jp/kegg-bin/show_pathway?ath00591/ath:AT1G55020%09red/ath:AT5G04040%09red/ath:AT3G45140%09red
Other glycan degradation	KEGG PATHWAY	ath00511	6	31	0.0800016279066	0.707765380222	Barthea19693|Barthea14449|Barthea19692|Barthea12559|Barthea21682|Barthea14628	http://www.genome.jp/kegg-bin/show_pathway?ath00511/ath:AT1G05590%09red/ath:AT1G33700%09red/ath:AT3G26720%09red/ath:AT4G34260%09red
Steroid biosynthesis	KEGG PATHWAY	ath00100	10	68	0.106934161906	0.740876546637	Barthea37029|Barthea36128|Barthea14596|Barthea07344|Barthea25959|Barthea22207|Barthea22136|Barthea05619|Barthea26842|Barthea05715	http://www.genome.jp/kegg-bin/show_pathway?ath00100/ath:AT1G07420%09red/ath:AT2G34500%09red/ath:AT4G12110%09red/ath:AT5G50375%09red/ath:AT2G26260%09red/ath:AT4G37760%09red/ath:AT2G07050%09red/ath:AT5G04040%09red
Glutathione metabolism	KEGG PATHWAY	ath00480	19	152	0.112358405284	0.764908100618	Barthea27127|Barthea07281|Barthea42613|Barthea04201|Barthea01385|Barthea20668|Barthea19636|Barthea04777|Barthea20305|Barthea06540|Barthea39139|Barthea44459|Barthea25034|Barthea10682|Barthea24715|Barthea27592|Barthea24115|Barthea16501|Barthea30473	http://www.genome.jp/kegg-bin/show_pathway?ath00480/ath:AT4G11600%09red/ath:AT1G02950%09red/ath:AT5G13110%09red/ath:AT1G75270%09red/ath:AT1G74590%09red/ath:AT1G78380%09red/ath:AT5G16710%09red/ath:AT3G03190%09red/ath:AT3G62760%09red/ath:AT1G63460%09red/ath:AT3G27060%09red/ath:AT3G09270%09red/ath:AT1G10370%09red/ath:AT1G65930%09red/ath:AT3G23580%09red
Circadian rhythm - plant	KEGG PATHWAY	ath04712	11	79	0.121032631392	0.774018437829	Barthea04580|Barthea36327|Barthea41900|Barthea36280|Barthea19421|Barthea10531|Barthea30743|Barthea28885|Barthea05577|Barthea30235|Barthea22562	http://www.genome.jp/kegg-bin/show_pathway?ath04712/ath:AT1G09530%09red/ath:AT2G18790%09red/ath:AT5G02810%09red/ath:AT5G11260%09red/ath:AT5G23730%09red/ath:AT4G08920%09red/ath:AT2G23080%09red/ath:AT1G65480%09red/ath:AT5G13930%09red
